الوحدة / Unité,المعرّف / Identifiant,بالحرف اللاتيني / Latin,بالحرف العربي / Graphie arabe,تيفيناغ / Tifinagh,المعنى بالإنجليزية / Sens (anglais),المعنى بالفرنسية / Sens (français),المعنى بالعربية / Sens (arabe),نوع الكلمة / Nature du mot,المنطقة / Région,"درجة الثقة / Confiance (high, medium, low)",لماذا (بالفرنسية) / Pourquoi,لماذا / Pourquoi (arabe),صيغ أخرى معروفة / Variantes connues,أول درس / Première leçon,صحيح؟ / Correct ?,التصحيح / Correction,المراجِع / Relecteur,القرية / Village
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000017,yekkat unẓar,يكات أونزار,ⵢⴻⴽⴽⴰⵜ ⵓⵏⵥⴰⵔ,it's raining,il pleut,إنها تمطر,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Tournure kabyle (yekkat « il frappe ») transposée ; le chaoui a peut-être une autre expression.,تعبير قبائلي (yekkat «يضرب») منقول؛ قد يكون للشاوية تعبير آخر.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000035,mani tella taɣaṭ,ماني تلا تاغاط,ⵎⴰⵏⵉ ⵜⴻⵍⵍⴰ ⵜⴰⵖⴰⵟ,where is the goat?,où est la chèvre ?,أين العنزة؟,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000036,tella ɣef uẓru,تلا غف أوزرو,ⵜⴻⵍⵍⴰ ⵖⴻⴼ ⵓⵥⵔⵓ,it's on the rock,elle est sur le rocher,إنها على الصخرة,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000001,azul,أزول,ⴰⵣⵓⵍ,hello,bonjour,مرحبًا,interjection / تعجّب,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Salutation panamazighe, très répandue chez les Chaouis aujourd'hui ; au quotidien on dit aussi « ssalam ».",تحية أمازيغية مشتركة، منتشرة اليوم عند الشاوية؛ ويُقال أيضًا «السلام» في الحياة اليومية.,ssalam (arabe),1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000005,labas,لاباس,ⵍⴰⴱⴰⵙ,"fine, all good","ça va, bien",بخير,locution / تعبير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Emprunt à l'arabe, entendu dans le chaoui de tous les jours.",كلمة مقترضة من العربية، مسموعة في الشاوية اليومية.,,1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000009,nec,نش,ⵏⴻⵛ,"I, me","je, moi",أنا,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Correspond à nekk ailleurs ; en chaoui le k se prononce ch.,يقابل nekk في لهجات أخرى؛ تُنطق الكاف شينًا في الشاوية.,"nekk, necc",2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000010,cek,شك,ⵛⴻⴽ,you (to a man),toi (à un homme),أنتَ,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Forme chaouie/zénète attendue (kabyle kečč) ; graphie à confirmer.,الصيغة الشاوية/الزناتية المتوقعة (بالقبائلية kečč)؛ يجب تأكيد الكتابة.,"kečč, cecc",2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000011,cem,شم,ⵛⴻⵎ,you (to a woman),toi (à une femme),أنتِ,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Forme chaouie/zénète attendue (kabyle kemm) ; graphie à confirmer.,الصيغة الشاوية/الزناتية المتوقعة (بالقبائلية kemm)؛ يجب تأكيد الكتابة.,kemm,2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000012,netta,نتا,ⵏⴻⵜⵜⴰ,"he, him","il, lui",هو,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000013,nettat,نتات,ⵏⴻⵜⵜⴰⵜ,"she, her",elle,هي,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000025,acawi,أشاوي,ⴰⵛⴰⵡⵉ,Chaoui (a Chaoui man),Chaoui (un homme chaoui),شاوي,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Nom que se donnent les Chaouis ; graphie à confirmer (pluriel icawiyen).,الاسم الذي يطلقه الشاوية على أنفسهم؛ يجب تأكيد الكتابة (الجمع icawiyen).,ccawi,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000028,nec d acawi,نش د أشاوي,ⵏⴻⵛ ⴷ ⴰⵛⴰⵡⵉ,I'm Chaoui (said by a man),je suis chaoui (dit par un homme),أنا شاوي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Construction simple et régulière (nom + n + nom, ou particule d) ; les mots sont sûrs.",تركيب بسيط ومنتظم (اسم + n + اسم، أو الأداة d)؛ الكلمات موثوقة.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000029,nec d tacawit,نش د تاشاويت,ⵏⴻⵛ ⴷ ⵜⴰⵛⴰⵡⵉⵜ,I'm Chaoui (said by a woman),je suis chaouie (dit par une femme),أنا شاوية,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Construction simple et régulière (nom + n + nom, ou particule d) ; les mots sont sûrs.",تركيب بسيط ومنتظم (اسم + n + اسم، أو الأداة d)؛ الكلمات موثوقة.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000030,amaziɣ,أمازيغ,ⴰⵎⴰⵣⵉⵖ,Amazigh (an Amazigh man),Amazigh (un homme amazigh),أمازيغي,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000031,tamaziɣt,تامازيغت,ⵜⴰⵎⴰⵣⵉⵖⵜ,"Tamazight, the Amazigh language","le tamazight, la langue amazighe",الأمازيغية (اللغة),nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000033,cek d acawi,شك د أشاوي,ⵛⴻⴽ ⴷ ⴰⵛⴰⵡⵉ,are you Chaoui? (to a man),es-tu chaoui ? (à un homme),هل أنت شاوي؟,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Construction simple et régulière (nom + n + nom, ou particule d) ; les mots sont sûrs.",تركيب بسيط ومنتظم (اسم + n + اسم، أو الأداة d)؛ الكلمات موثوقة.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000003,mmi,مي,ⵎⵎⵉ,my son,mon fils,ابني,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000004,illi,إلي,ⵉⵍⵍⵉ,my daughter,ma fille,ابنتي,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000010,ultma,أولتما,ⵓⵍⵜⵎⴰ,my sister,ma sœur,أختي,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,weltma,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000018,tamɣart,تامغارت,ⵜⴰⵎⵖⴰⵔⵜ,woman; wife,femme ; épouse,امرأة؛ زوجة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"En chaoui, comme en rifain, tamɣart = femme, épouse (en kabyle : vieille femme).",في الشاوية، كما في الريفية، tamɣart = امرأة، زوجة (وفي القبائلية: امرأة عجوز).,tameṭṭut,3. Hommes et femmes / الرجال والنساء,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000019,irgazen,إرڨازن,ⵉⵔⴳⴰⵣⴻⵏ,men,hommes,رجال,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Hommes et femmes / الرجال والنساء,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000020,amɣar,أمغار,ⴰⵎⵖⴰⵔ,old man; elder,vieil homme ; ancien,شيخ؛ رجل مُسنّ,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Hommes et femmes / الرجال والنساء,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000021,medden,مدن,ⵎⴻⴷⴷⴻⵏ,people,les gens,الناس,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Hommes et femmes / الرجال والنساء,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000025,yemma-k,يماك,ⵢⴻⵎⵎⴰ-ⴽ,your mother (to a man),ta mère (à un homme),أمّك (لرجل),nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Terme de parenté + suffixe possessif (-k, -m, -s), forme régulière.",كلمة قرابة + لاحقة الملكية (‎-k، ‎-m، ‎-s)، صيغة منتظمة.,,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000026,yemma-m,يمام,ⵢⴻⵎⵎⴰ-ⵎ,your mother (to a woman),ta mère (à une femme),أمّكِ (لامرأة),nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Terme de parenté + suffixe possessif (-k, -m, -s), forme régulière.",كلمة قرابة + لاحقة الملكية (‎-k، ‎-m، ‎-s)، صيغة منتظمة.,,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000027,baba-k,باباك,ⴱⴰⴱⴰ-ⴽ,your father (to a man),ton père (à un homme),أبوك (لرجل),nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Terme de parenté + suffixe possessif (-k, -m, -s), forme régulière.",كلمة قرابة + لاحقة الملكية (‎-k، ‎-m، ‎-s)، صيغة منتظمة.,,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000028,yemma-s,يماس,ⵢⴻⵎⵎⴰ-ⵙ,his or her mother,sa mère,أمّه، أمّها,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Terme de parenté + suffixe possessif (-k, -m, -s), forme régulière.",كلمة قرابة + لاحقة الملكية (‎-k، ‎-m، ‎-s)، صيغة منتظمة.,,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000029,baba-s,باباس,ⴱⴰⴱⴰ-ⵙ,his or her father,son père,أبوه، أبوها,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Terme de parenté + suffixe possessif (-k, -m, -s), forme régulière.",كلمة قرابة + لاحقة الملكية (‎-k، ‎-m، ‎-s)، صيغة منتظمة.,,4. Ta famille / عائلتك,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000004,snat,سنات,ⵙⵏⴰⵜ,two (feminine),deux (féminin),اثنتان,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. De un à cinq / من واحد إلى خمسة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000017,ussan,أوسان,ⵓⵙⵙⴰⵏ,days,jours,أيام,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000018,iḍ,إض,ⵉⴹ,night,nuit,ليل، ليلة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000019,assa,أسا,ⴰⵙⵙⴰ,today,aujourd'hui,اليوم,adverbe / ظرف,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000022,tameddit,تامديت,ⵜⴰⵎⴻⴷⴷⵉⵜ,evening,soir,مساء,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000025,aseggas,أسڨاس,ⴰⵙⴻⴳⴳⴰⵙ,year,année,سنة، عام,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Mot panamazigh ; en chaoui souvent prononcé aseyyas (g → y).,كلمة أمازيغية مشتركة؛ كثيرًا ما تُنطق في الشاوية aseyyas.,aseyyas (prononciation),4. Une nouvelle année / سنة جديدة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000027,aseggas ameggaz,أسڨاس أمڨاز,ⴰⵙⴻⴳⴳⴰⵙ ⴰⵎⴻⴳⴳⴰⵣ,happy new year,bonne année,سنة سعيدة,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Vœu de Yennayer largement utilisé ; prononciation locale possible aseyyas ameyyaz.,تهنئة ينّاير المستعملة على نطاق واسع؛ قد يكون النطق المحلي aseyyas ameyyaz.,,4. Une nouvelle année / سنة جديدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000003,tisent,تيسنت,ⵜⵉⵙⴻⵏⵜ,salt,sel,ملح,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. Le pain et l'eau / الخبز والماء,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000004,zzit,زيت,ⵣⵣⵉⵜ,oil,huile,زيت,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Emprunt à l'arabe, entendu dans le chaoui de tous les jours.",كلمة مقترضة من العربية، مسموعة في الشاوية اليومية.,,1. Le pain et l'eau / الخبز والماء,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000005,sew,سو,ⵙⴻⵡ,drink!,bois !,اشرب,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. Le pain et l'eau / الخبز والماء,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000006,ecc,أش,ⴻⵛⵛ,eat!,mange !,كُلْ,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Impératif de « manger » (kabyle ečč) ; graphie chaouie à confirmer.,صيغة الأمر من «أكل» (بالقبائلية ečč)؛ يجب تأكيد الكتابة الشاوية.,ečč,1. Le pain et l'eau / الخبز والماء,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000009,aksum,أكسوم,ⴰⴽⵙⵓⵎ,meat,viande,لحم,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000010,tamellalt,تاملالت,ⵜⴰⵎⴻⵍⵍⴰⵍⵜ,egg,œuf,بيضة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000012,udi,أودي,ⵓⴷⵉ,butter (smen),beurre (smen),سمن,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000013,tament,تامنت,ⵜⴰⵎⴻⵏⵜ,honey,miel,عسل,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000014,irden,إردن,ⵉⵔⴷⴻⵏ,wheat,blé,قمح,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000015,timẓin,تيمزين,ⵜⵉⵎⵥⵉⵏ,barley,orge,شعير,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000025,aman n tala,أمان ن تالا,ⴰⵎⴰⵏ ⵏ ⵜⴰⵍⴰ,spring water,eau de source,ماء العين,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Construction simple et régulière (nom + n + nom, ou particule d) ; les mots sont sûrs.",تركيب بسيط ومنتظم (اسم + n + اسم، أو الأداة d)؛ الكلمات موثوقة.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000026,ssuq,سوق,ⵙⵙⵓⵇ,market,marché,سوق,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Emprunt à l'arabe, entendu dans le chaoui de tous les jours.",كلمة مقترضة من العربية، مسموعة في الشاوية اليومية.,,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000027,tiyni,تييني,ⵜⵉⵢⵏⵉ,dates,dattes,تمر,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000028,azemmur,أزمور,ⴰⵣⴻⵎⵎⵓⵔ,olives,olives,زيتون,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000032,tiyni n Biskra,تييني ن بسكرة,ⵜⵉⵢⵏⵉ ⵏ ⴱⵉⵙⴽⵔⴰ,dates from Biskra,dattes de Biskra,تمر بسكرة,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Construction simple et régulière (nom + n + nom, ou particule d) ; les mots sont sûrs.",تركيب بسيط ومنتظم (اسم + n + اسم، أو الأداة d)؛ الكلمات موثوقة.,,4. Au marché / في السوق,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000001,taddart,تادارت,ⵜⴰⴷⴷⴰⵔⵜ,"house, home",maison,بيت، منزل,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,En chaoui taddart = la maison (en kabyle = le village). Autre forme possible : axxam.,في الشاوية taddart = البيت (وفي القبائلية = القرية). صيغة أخرى ممكنة: axxam.,axxam,1. À la maison / في البيت,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000002,tabburt,تابورت,ⵜⴰⴱⴱⵓⵔⵜ,door,porte,باب,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. À la maison / في البيت,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000003,tasarut,تاساروت,ⵜⴰⵙⴰⵔⵓⵜ,key,clé,مفتاح,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. À la maison / في البيت,,,,
